n,steps,r_start,depth_len,selected_depths,selected_count,max_pairwise_overlap,min_pairwise_overlap,total_pair_count,disjoint_pair_count,has_disjoint_pair,first_pair,first_pair_overlap,first_pair_left_mass,first_pair_right_mass
65,64,2,8,,0,0,0,0,0,False,,0,0,0
67,64,2,8,,0,0,0,0,0,False,,0,0,0
69,64,2,8,,0,0,0,0,0,False,,0,0,0
71,64,2,8,2,1,0,0,0,0,False,,0,0,0
73,64,2,8,2,1,0,0,0,0,False,,0,0,0
75,64,2,8,,0,0,0,0,0,False,,0,0,0
77,64,2,8,,0,0,0,0,0,False,,0,0,0
79,64,2,8,,0,0,0,0,0,False,,0,0,0
81,64,2,8,,0,0,0,0,0,False,,0,0,0
83,64,2,8,2,1,0,0,0,0,False,,0,0,0
85,64,2,8,,0,0,0,0,0,False,,0,0,0
87,64,2,8,,0,0,0,0,0,False,,0,0,0
89,64,2,8,,0,0,0,0,0,False,,0,0,0
91,64,2,8,2,1,0,0,0,0,False,,0,0,0
93,64,2,8,,0,0,0,0,0,False,,0,0,0
95,64,2,8,2,1,0,0,0,0,False,,0,0,0
97,64,2,8,2,1,0,0,0,0,False,,0,0,0
99,64,2,8,,0,0,0,0,0,False,,0,0,0
101,64,2,8,,0,0,0,0,0,False,,0,0,0
103,64,2,8,2,1,0,0,0,0,False,,0,0,0
105,64,2,8,,0,0,0,0,0,False,,0,0,0
107,64,2,8,2,1,0,0,0,0,False,,0,0,0
109,64,2,8,2,1,0,0,0,0,False,,0,0,0
111,64,2,8,2;3,2,5,5,1,0,False,2:3,5,9,5
113,64,2,8,,0,0,0,0,0,False,,0,0,0
115,64,2,8,,0,0,0,0,0,False,,0,0,0
117,64,2,8,,0,0,0,0,0,False,,0,0,0
119,64,2,8,,0,0,0,0,0,False,,0,0,0
121,64,2,8,2,1,0,0,0,0,False,,0,0,0
123,64,2,8,,0,0,0,0,0,False,,0,0,0
125,64,2,8,2,1,0,0,0,0,False,,0,0,0
127,64,2,8,2;3;4;5,4,4,2,6,0,False,2:3,4,5,4
129,64,2,8,2,1,0,0,0,0,False,,0,0,0
131,64,2,8,,0,0,0,0,0,False,,0,0,0
133,64,2,8,,0,0,0,0,0,False,,0,0,0
135,64,2,8,,0,0,0,0,0,False,,0,0,0
137,64,2,8,2,1,0,0,0,0,False,,0,0,0
139,64,2,8,,0,0,0,0,0,False,,0,0,0
141,64,2,8,,0,0,0,0,0,False,,0,0,0
143,64,2,8,2,1,0,0,0,0,False,,0,0,0
145,64,2,8,2,1,0,0,0,0,False,,0,0,0
147,64,2,8,2,1,0,0,0,0,False,,0,0,0
149,64,2,8,,0,0,0,0,0,False,,0,0,0
151,64,2,8,,0,0,0,0,0,False,,0,0,0
153,64,2,8,,0,0,0,0,0,False,,0,0,0
155,64,2,8,2,1,0,0,0,0,False,,0,0,0
157,64,2,8,,0,0,0,0,0,False,,0,0,0
159,64,2,8,2;3,2,4,4,1,0,False,2:3,4,7,4
161,64,2,8,2,1,0,0,0,0,False,,0,0,0
163,64,2,8,,0,0,0,0,0,False,,0,0,0
165,64,2,8,2,1,0,0,0,0,False,,0,0,0
167,64,2,8,2,1,0,0,0,0,False,,0,0,0
169,64,2,8,2;3;4;5,4,4,2,6,0,False,2:3,4,5,4
171,64,2,8,2,1,0,0,0,0,False,,0,0,0
173,64,2,8,,0,0,0,0,0,False,,0,0,0
175,64,2,8,2,1,0,0,0,0,False,,0,0,0
177,64,2,8,,0,0,0,0,0,False,,0,0,0
179,64,2,8,,0,0,0,0,0,False,,0,0,0
181,64,2,8,,0,0,0,0,0,False,,0,0,0
183,64,2,8,2,1,0,0,0,0,False,,0,0,0
185,64,2,8,,0,0,0,0,0,False,,0,0,0
187,64,2,8,,0,0,0,0,0,False,,0,0,0
189,64,2,8,2,1,0,0,0,0,False,,0,0,0
191,64,2,8,2;3;4,3,3,2,3,0,False,2:3,3,4,3
193,64,2,8,2,1,0,0,0,0,False,,0,0,0
195,64,2,8,2,1,0,0,0,0,False,,0,0,0
197,64,2,8,,0,0,0,0,0,False,,0,0,0
199,64,2,8,2,1,0,0,0,0,False,,0,0,0
201,64,2,8,,0,0,0,0,0,False,,0,0,0
203,64,2,8,,0,0,0,0,0,False,,0,0,0
205,64,2,8,,0,0,0,0,0,False,,0,0,0
207,64,2,8,2,1,0,0,0,0,False,,0,0,0
209,64,2,8,,0,0,0,0,0,False,,0,0,0
211,64,2,8,,0,0,0,0,0,False,,0,0,0
213,64,2,8,,0,0,0,0,0,False,,0,0,0
215,64,2,8,2,1,0,0,0,0,False,,0,0,0
217,64,2,8,,0,0,0,0,0,False,,0,0,0
219,64,2,8,,0,0,0,0,0,False,,0,0,0
221,64,2,8,2,1,0,0,0,0,False,,0,0,0
223,64,2,8,2;3,2,6,6,1,0,False,2:3,6,10,6
225,64,2,8,2;3;4;5,4,4,2,6,0,False,2:3,4,5,4
227,64,2,8,,0,0,0,0,0,False,,0,0,0
229,64,2,8,,0,0,0,0,0,False,,0,0,0
231,64,2,8,2,1,0,0,0,0,False,,0,0,0
233,64,2,8,2,1,0,0,0,0,False,,0,0,0
235,64,2,8,2,1,0,0,0,0,False,,0,0,0
237,64,2,8,,0,0,0,0,0,False,,0,0,0
239,64,2,8,2,1,0,0,0,0,False,,0,0,0
241,64,2,8,,0,0,0,0,0,False,,0,0,0
243,64,2,8,2,1,0,0,0,0,False,,0,0,0
245,64,2,8,,0,0,0,0,0,False,,0,0,0
247,64,2,8,,0,0,0,0,0,False,,0,0,0
249,64,2,8,,0,0,0,0,0,False,,0,0,0
251,64,2,8,2;3,2,4,4,1,0,False,2:3,4,7,4
253,64,2,8,2,1,0,0,0,0,False,,0,0,0
255,64,2,8,2;3;4;5;6,5,5,2,10,0,False,2:3,5,6,5
257,64,2,8,2,1,0,0,0,0,False,,0,0,0
259,64,2,8,2,1,0,0,0,0,False,,0,0,0
261,64,2,8,,0,0,0,0,0,False,,0,0,0
263,64,2,8,2,1,0,0,0,0,False,,0,0,0
265,64,2,8,2,1,0,0,0,0,False,,0,0,0
267,64,2,8,,0,0,0,0,0,False,,0,0,0
269,64,2,8,,0,0,0,0,0,False,,0,0,0
271,64,2,8,,0,0,0,0,0,False,,0,0,0
273,64,2,8,,0,0,0,0,0,False,,0,0,0
275,64,2,8,2,1,0,0,0,0,False,,0,0,0
277,64,2,8,,0,0,0,0,0,False,,0,0,0
279,64,2,8,,0,0,0,0,0,False,,0,0,0
281,64,2,8,,0,0,0,0,0,False,,0,0,0
283,64,2,8,2;3,2,4,4,1,0,False,2:3,4,7,4
285,64,2,8,2,1,0,0,0,0,False,,0,0,0
287,64,2,8,2;3,2,2,2,1,0,False,2:3,2,3,2
289,64,2,8,,0,0,0,0,0,False,,0,0,0
291,64,2,8,2,1,0,0,0,0,False,,0,0,0
293,64,2,8,2,1,0,0,0,0,False,,0,0,0
295,64,2,8,,0,0,0,0,0,False,,0,0,0
297,64,2,8,2;3,2,6,6,1,0,False,2:3,6,10,6
299,64,2,8,2,1,0,0,0,0,False,,0,0,0
301,64,2,8,,0,0,0,0,0,False,,0,0,0
303,64,2,8,2,1,0,0,0,0,False,,0,0,0
305,64,2,8,,0,0,0,0,0,False,,0,0,0
307,64,2,8,,0,0,0,0,0,False,,0,0,0
309,64,2,8,,0,0,0,0,0,False,,0,0,0
311,64,2,8,2,1,0,0,0,0,False,,0,0,0
313,64,2,8,2,1,0,0,0,0,False,,0,0,0
315,64,2,8,,0,0,0,0,0,False,,0,0,0
317,64,2,8,,0,0,0,0,0,False,,0,0,0
319,64,2,8,2;3,2,4,4,1,0,False,2:3,4,7,4
321,64,2,8,,0,0,0,0,0,False,,0,0,0
323,64,2,8,2,1,0,0,0,0,False,,0,0,0
325,64,2,8,,0,0,0,0,0,False,,0,0,0
327,64,2,8,2,1,0,0,0,0,False,,0,0,0
329,64,2,8,,0,0,0,0,0,False,,0,0,0
331,64,2,8,,0,0,0,0,0,False,,0,0,0
333,64,2,8,2,1,0,0,0,0,False,,0,0,0
335,64,2,8,2;3,2,5,5,1,0,False,2:3,5,9,5
337,64,2,8,2,1,0,0,0,0,False,,0,0,0
339,64,2,8,2;3;4,3,3,2,3,0,False,2:3,3,4,3
341,64,2,8,,0,0,0,0,0,False,,0,0,0
343,64,2,8,2,1,0,0,0,0,False,,0,0,0
345,64,2,8,2,1,0,0,0,0,False,,0,0,0
347,64,2,8,2,1,0,0,0,0,False,,0,0,0
349,64,2,8,,0,0,0,0,0,False,,0,0,0
351,64,2,8,2;3,2,6,6,1,0,False,2:3,6,11,6
353,64,2,8,2,1,0,0,0,0,False,,0,0,0
355,64,2,8,,0,0,0,0,0,False,,0,0,0
357,64,2,8,,0,0,0,0,0,False,,0,0,0
359,64,2,8,2,1,0,0,0,0,False,,0,0,0
361,64,2,8,,0,0,0,0,0,False,,0,0,0
363,64,2,8,,0,0,0,0,0,False,,0,0,0
365,64,2,8,2,1,0,0,0,0,False,,0,0,0
367,64,2,8,,0,0,0,0,0,False,,0,0,0
369,64,2,8,,0,0,0,0,0,False,,0,0,0
371,64,2,8,,0,0,0,0,0,False,,0,0,0
373,64,2,8,,0,0,0,0,0,False,,0,0,0
375,64,2,8,,0,0,0,0,0,False,,0,0,0
377,64,2,8,2;3,2,4,4,1,0,False,2:3,4,7,4
379,64,2,8,,0,0,0,0,0,False,,0,0,0
381,64,2,8,2,1,0,0,0,0,False,,0,0,0
383,64,2,8,2;3;4;5,4,4,2,6,0,False,2:3,4,5,4
385,64,2,8,,0,0,0,0,0,False,,0,0,0
387,64,2,8,2,1,0,0,0,0,False,,0,0,0
389,64,2,8,2,1,0,0,0,0,False,,0,0,0
391,64,2,8,2,1,0,0,0,0,False,,0,0,0
393,64,2,8,,0,0,0,0,0,False,,0,0,0
395,64,2,8,2,1,0,0,0,0,False,,0,0,0
397,64,2,8,,0,0,0,0,0,False,,0,0,0
399,64,2,8,2,1,0,0,0,0,False,,0,0,0
401,64,2,8,,0,0,0,0,0,False,,0,0,0
403,64,2,8,,0,0,0,0,0,False,,0,0,0
405,64,2,8,,0,0,0,0,0,False,,0,0,0
407,64,2,8,,0,0,0,0,0,False,,0,0,0
409,64,2,8,,0,0,0,0,0,False,,0,0,0
411,64,2,8,2,1,0,0,0,0,False,,0,0,0
413,64,2,8,2,1,0,0,0,0,False,,0,0,0
415,64,2,8,2,1,0,0,0,0,False,,0,0,0
417,64,2,8,2,1,0,0,0,0,False,,0,0,0
419,64,2,8,,0,0,0,0,0,False,,0,0,0
421,64,2,8,,0,0,0,0,0,False,,0,0,0
423,64,2,8,,0,0,0,0,0,False,,0,0,0
425,64,2,8,2;3,2,4,4,1,0,False,2:3,4,7,4
427,64,2,8,,0,0,0,0,0,False,,0,0,0
429,64,2,8,2,1,0,0,0,0,False,,0,0,0
431,64,2,8,,0,0,0,0,0,False,,0,0,0
433,64,2,8,,0,0,0,0,0,False,,0,0,0
435,64,2,8,,0,0,0,0,0,False,,0,0,0
437,64,2,8,2,1,0,0,0,0,False,,0,0,0
439,64,2,8,,0,0,0,0,0,False,,0,0,0
441,64,2,8,,0,0,0,0,0,False,,0,0,0
443,64,2,8,,0,0,0,0,0,False,,0,0,0
445,64,2,8,2,1,0,0,0,0,False,,0,0,0
447,64,2,8,2;3;4;5,4,9,4,6,0,False,2:3,9,14,9
449,64,2,8,2,1,0,0,0,0,False,,0,0,0
451,64,2,8,2;3;4;5,4,4,2,6,0,False,2:3,4,5,4
453,64,2,8,,0,0,0,0,0,False,,0,0,0
455,64,2,8,,0,0,0,0,0,False,,0,0,0
457,64,2,8,2,1,0,0,0,0,False,,0,0,0
459,64,2,8,2,1,0,0,0,0,False,,0,0,0
461,64,2,8,,0,0,0,0,0,False,,0,0,0
463,64,2,8,2,1,0,0,0,0,False,,0,0,0
465,64,2,8,,0,0,0,0,0,False,,0,0,0
467,64,2,8,2,1,0,0,0,0,False,,0,0,0
469,64,2,8,,0,0,0,0,0,False,,0,0,0
471,64,2,8,2,1,0,0,0,0,False,,0,0,0
473,64,2,8,,0,0,0,0,0,False,,0,0,0
475,64,2,8,,0,0,0,0,0,False,,0,0,0
477,64,2,8,,0,0,0,0,0,False,,0,0,0
479,64,2,8,2,1,0,0,0,0,False,,0,0,0
481,64,2,8,,0,0,0,0,0,False,,0,0,0
483,64,2,8,,0,0,0,0,0,False,,0,0,0
485,64,2,8,2,1,0,0,0,0,False,,0,0,0
487,64,2,8,2,1,0,0,0,0,False,,0,0,0
489,64,2,8,,0,0,0,0,0,False,,0,0,0
491,64,2,8,2,1,0,0,0,0,False,,0,0,0
493,64,2,8,,0,0,0,0,0,False,,0,0,0
495,64,2,8,2,1,0,0,0,0,False,,0,0,0
497,64,2,8,,0,0,0,0,0,False,,0,0,0
499,64,2,8,,0,0,0,0,0,False,,0,0,0
501,64,2,8,2,1,0,0,0,0,False,,0,0,0
503,64,2,8,2,1,0,0,0,0,False,,0,0,0
505,64,2,8,,0,0,0,0,0,False,,0,0,0
507,64,2,8,,0,0,0,0,0,False,,0,0,0
509,64,2,8,2;3;4,3,3,2,3,0,False,2:3,3,4,3
511,64,2,8,2;3;4;5;6;7,6,6,2,15,0,False,2:3,6,8,6
513,64,2,8,,0,0,0,0,0,False,,0,0,0
515,64,2,8,2,1,0,0,0,0,False,,0,0,0
517,64,2,8,2,1,0,0,0,0,False,,0,0,0
519,64,2,8,,0,0,0,0,0,False,,0,0,0
521,64,2,8,2,1,0,0,0,0,False,,0,0,0
523,64,2,8,2,1,0,0,0,0,False,,0,0,0
525,64,2,8,,0,0,0,0,0,False,,0,0,0
527,64,2,8,2,1,0,0,0,0,False,,0,0,0
529,64,2,8,,0,0,0,0,0,False,,0,0,0
531,64,2,8,2,1,0,0,0,0,False,,0,0,0
533,64,2,8,,0,0,0,0,0,False,,0,0,0
535,64,2,8,,0,0,0,0,0,False,,0,0,0
537,64,2,8,,0,0,0,0,0,False,,0,0,0
539,64,2,8,2,1,0,0,0,0,False,,0,0,0
541,64,2,8,,0,0,0,0,0,False,,0,0,0
543,64,2,8,2;3,2,9,9,1,0,False,2:3,9,17,9
545,64,2,8,,0,0,0,0,0,False,,0,0,0
547,64,2,8,,0,0,0,0,0,False,,0,0,0
549,64,2,8,2,1,0,0,0,0,False,,0,0,0
551,64,2,8,,0,0,0,0,0,False,,0,0,0
553,64,2,8,2,1,0,0,0,0,False,,0,0,0
555,64,2,8,,0,0,0,0,0,False,,0,0,0
557,64,2,8,,0,0,0,0,0,False,,0,0,0
559,64,2,8,,0,0,0,0,0,False,,0,0,0
561,64,2,8,,0,0,0,0,0,False,,0,0,0
563,64,2,8,,0,0,0,0,0,False,,0,0,0
565,64,2,8,,0,0,0,0,0,False,,0,0,0
567,64,2,8,2,1,0,0,0,0,False,,0,0,0
569,64,2,8,,0,0,0,0,0,False,,0,0,0
571,64,2,8,,0,0,0,0,0,False,,0,0,0
573,64,2,8,2,1,0,0,0,0,False,,0,0,0
575,64,2,8,2;3;4,3,3,2,3,0,False,2:3,3,4,3
577,64,2,8,,0,0,0,0,0,False,,0,0,0
579,64,2,8,,0,0,0,0,0,False,,0,0,0
581,64,2,8,2,1,0,0,0,0,False,,0,0,0
583,64,2,8,,0,0,0,0,0,False,,0,0,0
585,64,2,8,,0,0,0,0,0,False,,0,0,0
587,64,2,8,2,1,0,0,0,0,False,,0,0,0
589,64,2,8,2,1,0,0,0,0,False,,0,0,0
591,64,2,8,,0,0,0,0,0,False,,0,0,0
593,64,2,8,2,1,0,0,0,0,False,,0,0,0
595,64,2,8,2;3,2,5,5,1,0,False,2:3,5,9,5
597,64,2,8,,0,0,0,0,0,False,,0,0,0
599,64,2,8,2,1,0,0,0,0,False,,0,0,0
601,64,2,8,2;3;4;5,4,4,2,6,0,False,2:3,4,5,4
603,64,2,8,,0,0,0,0,0,False,,0,0,0
605,64,2,8,,0,0,0,0,0,False,,0,0,0
607,64,2,8,2,1,0,0,0,0,False,,0,0,0
609,64,2,8,2,1,0,0,0,0,False,,0,0,0
611,64,2,8,,0,0,0,0,0,False,,0,0,0
613,64,2,8,,0,0,0,0,0,False,,0,0,0
615,64,2,8,,0,0,0,0,0,False,,0,0,0
617,64,2,8,2,1,0,0,0,0,False,,0,0,0
619,64,2,8,2,1,0,0,0,0,False,,0,0,0
621,64,2,8,2,1,0,0,0,0,False,,0,0,0
623,64,2,8,2,1,0,0,0,0,False,,0,0,0
625,64,2,8,,0,0,0,0,0,False,,0,0,0
627,64,2,8,2,1,0,0,0,0,False,,0,0,0
629,64,2,8,,0,0,0,0,0,False,,0,0,0
631,64,2,8,,0,0,0,0,0,False,,0,0,0
633,64,2,8,,0,0,0,0,0,False,,0,0,0
635,64,2,8,,0,0,0,0,0,False,,0,0,0
637,64,2,8,2,1,0,0,0,0,False,,0,0,0
639,64,2,8,2;3;4;5,4,9,3,6,0,False,2:3,9,17,9
641,64,2,8,,0,0,0,0,0,False,,0,0,0
643,64,2,8,,0,0,0,0,0,False,,0,0,0
645,64,2,8,2,1,0,0,0,0,False,,0,0,0
647,64,2,8,,0,0,0,0,0,False,,0,0,0
649,64,2,8,2,1,0,0,0,0,False,,0,0,0
651,64,2,8,2,1,0,0,0,0,False,,0,0,0
653,64,2,8,,0,0,0,0,0,False,,0,0,0
655,64,2,8,2,1,0,0,0,0,False,,0,0,0
657,64,2,8,,0,0,0,0,0,False,,0,0,0
659,64,2,8,,0,0,0,0,0,False,,0,0,0
661,64,2,8,2,1,0,0,0,0,False,,0,0,0
663,64,2,8,,0,0,0,0,0,False,,0,0,0
665,64,2,8,,0,0,0,0,0,False,,0,0,0
667,64,2,8,2,1,0,0,0,0,False,,0,0,0
669,64,2,8,2;3,2,4,4,1,0,False,2:3,4,7,4
671,64,2,8,2;3;4;5;6,5,8,2,10,0,False,2:3,8,13,8
673,64,2,8,,0,0,0,0,0,False,,0,0,0
675,64,2,8,2,1,0,0,0,0,False,,0,0,0
677,64,2,8,2;3;4;5,4,4,2,6,0,False,2:3,4,5,4
679,64,2,8,,0,0,0,0,0,False,,0,0,0
681,64,2,8,2;3;4;5;6;7,6,6,2,15,0,False,2:3,6,8,6
683,64,2,8,,0,0,0,0,0,False,,0,0,0
685,64,2,8,2,1,0,0,0,0,False,,0,0,0
687,64,2,8,2,1,0,0,0,0,False,,0,0,0
689,64,2,8,2,1,0,0,0,0,False,,0,0,0
691,64,2,8,2,1,0,0,0,0,False,,0,0,0
693,64,2,8,,0,0,0,0,0,False,,0,0,0
695,64,2,8,2,1,0,0,0,0,False,,0,0,0
697,64,2,8,2,1,0,0,0,0,False,,0,0,0
699,64,2,8,,0,0,0,0,0,False,,0,0,0
701,64,2,8,2,1,0,0,0,0,False,,0,0,0
703,64,2,8,2;3,2,12,12,1,0,False,2:3,12,22,12
705,64,2,8,,0,0,0,0,0,False,,0,0,0
707,64,2,8,2,1,0,0,0,0,False,,0,0,0
709,64,2,8,,0,0,0,0,0,False,,0,0,0
711,64,2,8,2;3;4;5,4,4,2,6,0,False,2:3,4,6,4
713,64,2,8,,0,0,0,0,0,False,,0,0,0
715,64,2,8,,0,0,0,0,0,False,,0,0,0
717,64,2,8,,0,0,0,0,0,False,,0,0,0
719,64,2,8,2,1,0,0,0,0,False,,0,0,0
721,64,2,8,,0,0,0,0,0,False,,0,0,0
723,64,2,8,,0,0,0,0,0,False,,0,0,0
725,64,2,8,,0,0,0,0,0,False,,0,0,0
727,64,2,8,,0,0,0,0,0,False,,0,0,0
729,64,2,8,,0,0,0,0,0,False,,0,0,0
731,64,2,8,2,1,0,0,0,0,False,,0,0,0
733,64,2,8,2,1,0,0,0,0,False,,0,0,0
735,64,2,8,2,1,0,0,0,0,False,,0,0,0
737,64,2,8,2,1,0,0,0,0,False,,0,0,0
739,64,2,8,,0,0,0,0,0,False,,0,0,0
741,64,2,8,,0,0,0,0,0,False,,0,0,0
743,64,2,8,2,1,0,0,0,0,False,,0,0,0
745,64,2,8,,0,0,0,0,0,False,,0,0,0
747,64,2,8,,0,0,0,0,0,False,,0,0,0
749,64,2,8,,0,0,0,0,0,False,,0,0,0
751,64,2,8,2,1,0,0,0,0,False,,0,0,0
753,64,2,8,,0,0,0,0,0,False,,0,0,0
755,64,2,8,2;3,2,4,4,1,0,False,2:3,4,7,4
757,64,2,8,2,1,0,0,0,0,False,,0,0,0
759,64,2,8,,0,0,0,0,0,False,,0,0,0
761,64,2,8,,0,0,0,0,0,False,,0,0,0
763,64,2,8,2,1,0,0,0,0,False,,0,0,0
765,64,2,8,2;3,2,2,2,1,0,False,2:3,2,3,2
767,64,2,8,2;3;4;5;6,5,5,2,10,0,False,2:3,5,7,5
769,64,2,8,,0,0,0,0,0,False,,0,0,0
771,64,2,8,,0,0,0,0,0,False,,0,0,0
773,64,2,8,2,1,0,0,0,0,False,,0,0,0
775,64,2,8,2,1,0,0,0,0,False,,0,0,0
777,64,2,8,,0,0,0,0,0,False,,0,0,0
779,64,2,8,,0,0,0,0,0,False,,0,0,0
781,64,2,8,2,1,0,0,0,0,False,,0,0,0
783,64,2,8,2,1,0,0,0,0,False,,0,0,0
785,64,2,8,2,1,0,0,0,0,False,,0,0,0
787,64,2,8,,0,0,0,0,0,False,,0,0,0
789,64,2,8,,0,0,0,0,0,False,,0,0,0
791,64,2,8,2,1,0,0,0,0,False,,0,0,0
793,64,2,8,2;3,2,5,5,1,0,False,2:3,5,9,5
795,64,2,8,2;3;4;5;6,5,10,3,10,0,False,2:3,10,14,10
797,64,2,8,2,1,0,0,0,0,False,,0,0,0
799,64,2,8,2,1,0,0,0,0,False,,0,0,0
801,64,2,8,2;3;4;5,4,4,2,6,0,False,2:3,4,5,4
803,64,2,8,,0,0,0,0,0,False,,0,0,0
805,64,2,8,,0,0,0,0,0,False,,0,0,0
807,64,2,8,2;3;4;5;6,5,5,2,10,0,False,2:3,5,8,5
809,64,2,8,2,1,0,0,0,0,False,,0,0,0
811,64,2,8,2,1,0,0,0,0,False,,0,0,0
813,64,2,8,,0,0,0,0,0,False,,0,0,0
815,64,2,8,2,1,0,0,0,0,False,,0,0,0
817,64,2,8,,0,0,0,0,0,False,,0,0,0
819,64,2,8,,0,0,0,0,0,False,,0,0,0
821,64,2,8,,0,0,0,0,0,False,,0,0,0
823,64,2,8,2,1,0,0,0,0,False,,0,0,0
825,64,2,8,2,1,0,0,0,0,False,,0,0,0
827,64,2,8,,0,0,0,0,0,False,,0,0,0
829,64,2,8,2,1,0,0,0,0,False,,0,0,0
831,64,2,8,2;3,2,9,9,1,0,False,2:3,9,17,9
833,64,2,8,,0,0,0,0,0,False,,0,0,0
835,64,2,8,2,1,0,0,0,0,False,,0,0,0
837,64,2,8,,0,0,0,0,0,False,,0,0,0
839,64,2,8,,0,0,0,0,0,False,,0,0,0
841,64,2,8,,0,0,0,0,0,False,,0,0,0
843,64,2,8,,0,0,0,0,0,False,,0,0,0
845,64,2,8,,0,0,0,0,0,False,,0,0,0
847,64,2,8,2,1,0,0,0,0,False,,0,0,0
849,64,2,8,2,1,0,0,0,0,False,,0,0,0
851,64,2,8,2,1,0,0,0,0,False,,0,0,0
853,64,2,8,,0,0,0,0,0,False,,0,0,0
855,64,2,8,,0,0,0,0,0,False,,0,0,0
857,64,2,8,,0,0,0,0,0,False,,0,0,0
859,64,2,8,2,1,0,0,0,0,False,,0,0,0
861,64,2,8,2,1,0,0,0,0,False,,0,0,0
863,64,2,8,2;3,2,2,2,1,0,False,2:3,2,3,2
865,64,2,8,2,1,0,0,0,0,False,,0,0,0
867,64,2,8,,0,0,0,0,0,False,,0,0,0
869,64,2,8,,0,0,0,0,0,False,,0,0,0
871,64,2,8,2;3;4,3,13,7,3,0,False,2:3,13,23,13
873,64,2,8,2,1,0,0,0,0,False,,0,0,0
875,64,2,8,,0,0,0,0,0,False,,0,0,0
877,64,2,8,,0,0,0,0,0,False,,0,0,0
879,64,2,8,2,1,0,0,0,0,False,,0,0,0
881,64,2,8,2,1,0,0,0,0,False,,0,0,0
883,64,2,8,,0,0,0,0,0,False,,0,0,0
885,64,2,8,2,1,0,0,0,0,False,,0,0,0
887,64,2,8,,0,0,0,0,0,False,,0,0,0
889,64,2,8,2,1,0,0,0,0,False,,0,0,0
891,64,2,8,,0,0,0,0,0,False,,0,0,0
893,64,2,8,2;3,2,5,5,1,0,False,2:3,5,9,5
895,64,2,8,2;3;4;5;6,5,10,3,10,0,False,2:3,10,14,10
897,64,2,8,,0,0,0,0,0,False,,0,0,0
899,64,2,8,2,1,0,0,0,0,False,,0,0,0
901,64,2,8,2;3;4;5,4,4,2,6,0,False,2:3,4,5,4
903,64,2,8,2,1,0,0,0,0,False,,0,0,0
905,64,2,8,,0,0,0,0,0,False,,0,0,0
907,64,2,8,2;3;4;5,4,4,2,6,0,False,2:3,4,5,4
909,64,2,8,,0,0,0,0,0,False,,0,0,0
911,64,2,8,2,1,0,0,0,0,False,,0,0,0
913,64,2,8,2,1,0,0,0,0,False,,0,0,0
915,64,2,8,2,1,0,0,0,0,False,,0,0,0
917,64,2,8,,0,0,0,0,0,False,,0,0,0
919,64,2,8,2,1,0,0,0,0,False,,0,0,0
921,64,2,8,2,1,0,0,0,0,False,,0,0,0
923,64,2,8,,0,0,0,0,0,False,,0,0,0
925,64,2,8,2,1,0,0,0,0,False,,0,0,0
927,64,2,8,2;3,2,7,7,1,0,False,2:3,7,13,7
929,64,2,8,2,1,0,0,0,0,False,,0,0,0
931,64,2,8,,0,0,0,0,0,False,,0,0,0
933,64,2,8,2,1,0,0,0,0,False,,0,0,0
935,64,2,8,2,1,0,0,0,0,False,,0,0,0
937,64,2,8,2;3,2,12,12,1,0,False,2:3,12,22,12
939,64,2,8,2;3,2,5,5,1,0,False,2:3,5,9,5
